16,1024
172269.09, 8065792.74, 5000.00
1038590.56, 8985020.10, 5000.00
1963186.63, 9986909.73, 5000.00
2831957.87, 10906186.15, 5000.00
170002.97, 12026511.30, 5000.00
1041927.42, 12928213.52, 5000.00
1986471.30, 13915616.26, 5000.00
2880427.37, 14839020.06, 5000.00
123109.92, 165738.86, 5000.00
1013777.48, 1086603.76, 5000.00
1957137.75, 2074028.91, 5000.00
2824979.87, 2972452.97, 5000.00
172963.68, 4096701.96, 5000.00
1037643.73, 5013234.73, 5000.00
1960537.41, 6015599.19, 5000.00
2822704.21, 6932073.08, 5000.00
177295.79, 8067926.92, 5000.00
1039462.59, 8984400.81, 5000.00
1962356.27, 9986765.27, 5000.00
2827036.32, 10903298.04, 5000.00
175020.13, 12027547.03, 5000.00
1042862.25, 12925971.09, 5000.00
1986222.52, 13913396.24, 5000.00
2876890.08, 14834261.14, 5000.00
126665.04, 170521.31, 5000.00
1014016.28, 1088815.52, 5000.00
1956219.45, 2076292.80, 5000.00
2819937.75, 2971395.30, 5000.00
177906.94, 4099612.40, 5000.00
1038460.15, 5013361.98, 5000.00
1959679.75, 6016235.54, 5000.00
2817656.42, 6929915.81, 5000.00
182343.58, 8070084.19, 5000.00
1040320.25, 8983764.46, 5000.00
1961539.85, 9986638.02, 5000.00
2822093.06, 10900387.60, 5000.00
180062.25, 12028604.70, 5000.00
1043780.55, 12923707.20, 5000.00
1985983.72, 13911184.48, 5000.00
2873334.96, 14829478.69, 5000.00
130238.31, 175327.67, 5000.00
1014244.73, 1091018.58, 5000.00
1955318.25, 2078578.86, 5000.00
2814870.18, 2970315.11, 5000.00
182872.30, 4102545.69, 5000.00
1039262.13, 5013471.39, 5000.00
1958836.96, 6016889.59, 5000.00
2812587.16, 6927734.90, 5000.00
187412.84, 8072265.10, 5000.00
1041163.04, 8983110.41, 5000.00
1960737.87, 9986528.61, 5000.00
2817127.70, 10897454.31, 5000.00
185129.82, 12029684.89, 5000.00
1044681.75, 12921421.14, 5000.00
1985755.27, 13908981.42, 5000.00
2869761.69, 14824672.33, 5000.00
133830.06, 180158.35, 5000.00
1014462.41, 1093212.50, 5000.00
1954434.78, 2080887.78, 5000.00
2809776.64, 2969211.81, 5000.00
187860.14, 4105502.33, 5000.00
1040049.15, 5013562.28, 5000.00
1958009.59, 6017562.02, 5000.00
2807496.04, 6925529.82, 5000.00
192503.96, 8074470.18, 5000.00
1041990.41, 8982437.98, 5000.00
1959950.85, 9986437.72, 5000.00
2812139.86, 10894497.67, 5000.00
190223.36, 12030788.19, 5000.00
1045565.22, 12919112.22, 5000.00
1985537.59, 13906787.50, 5000.00
2866169.94, 14819841.65, 5000.00
137440.62, 185013.75, 5000.00
1014668.91, 1095396.80, 5000.00
1953569.65, 2083220.33, 5000.00
2804656.61, 2968084.80, 5000.00
192870.87, 4108482.87, 5000.00
1040820.67, 5013633.96, 5000.00
1957198.16, 6018253.51, 5000.00
2802382.67, 6923300.01, 5000.00
197617.33, 8076699.99, 5000.00
1042801.84, 8981746.49, 5000.00
1959179.33, 9986366.04, 5000.00
2807129.13, 10891517.13, 5000.00
195343.39, 12031915.20, 5000.00
1046430.35, 12916779.67, 5000.00
1985331.09, 13904603.20, 5000.00
2862559.38, 14814986.25, 5000.00
141070.35, 189894.31, 5000.00
1014863.81, 1097571.00, 5000.00
1952723.55, 2085577.28, 5000.00
2799509.53, 2966933.42, 5000.00
197904.93, 4111487.88, 5000.00
1041576.12, 5013685.70, 5000.00
1956403.26, 6018964.80, 5000.00
2797246.62, 6921044.86, 5000.00
202753.38, 8078955.14, 5000.00
1043596.74, 8981035.20, 5000.00
1958423.88, 9986314.30, 5000.00
2802095.07, 10888512.12, 5000.00
200490.47, 12033066.58, 5000.00
1047276.45, 12914422.72, 5000.00
1985136.19, 13902429.00, 5000.00
2858929.65, 14810105.69, 5000.00
144719.60, 194800.48, 5000.00
1015046.65, 1099734.60, 5000.00
1951897.16, 2087959.45, 5000.00
2794334.83, 2965757.03, 5000.00
202962.74, 4114517.94, 5000.00
1042314.94, 5013716.74, 5000.00
1955625.47, 6019696.64, 5000.00
2792087.45, 6918763.79, 5000.00
207912.55, 8081236.21, 5000.00
1044374.53, 8980303.36, 5000.00
1957685.06, 9986283.26, 5000.00
2797037.26, 10885482.06, 5000.00
205665.17, 12034242.97, 5000.00
1048102.84, 12912040.55, 5000.00
1984953.35, 13900265.40, 5000.00
